Fecha,Extorsion,HomicidioCulp,HomicidioDolo,Lesiones,RoboCasa,RoboNegocio,RoboSinViol,RoboVehi,RoboViol,Secuestro,Poblacion
3/31/2017,398,1207,1757,13769,7078,7426,16237,14060,9313,83,102713036
4/30/2017,369,1233,1718,13297,6580,6742,14524,13167,8165,78,102713036
5/31/2017,445,1174,1911,15729,6582,7085,15616,14171,9841,84,102713036
6/30/2017,440,1057,1980,15199,6731,7339,16328,13789,10137,94,102713036
7/31/2017,351,1084,1811,13168,6725,7063,16400,13755,10027,76,102713036
8/31/2017,439,1065,1861,14389,7111,7463,17522,14719,10505,81,102713036
9/30/2017,392,999,1919,13941,6784,7125,16143,14318,9974,70,102713036
10/31/2017,396,1107,2102,14583,7016,7938,17743,15321,11108,72,102713036
11/30/2017,347,1155,1944,13660,6569,7589,16930,14669,10385,72,102713036
12/31/2017,342,1262,2008,12771,6128,7480,15635,14059,9915,77,102713036
1/31/2018,368,1044,1971,11967,6520,7570,17048,14887,9819,71,103737665.7
2/28/2018,374,1029,1864,11886,5637,6817,15813,13530,8443,63,103737665.7
3/31/2018,404,1239,2147,14102,6132,7045,16239,14084,8783,76,103737665.7
4/30/2018,448,1112,2124,13871,6260,6903,16155,13795,8877,80,103737665.7
5/31/2018,400,1146,2320,15027,6180,7454,17033,14268,9445,67,103737665.7
6/30/2018,449,1004,2137,13687,5867,6433,16754,13414,8689,67,103737665.7
7/31/2018,429,1055,2425,13713,6327,6770,17233,13906,9178,75,103737665.7
8/31/2018,502,971,2309,13414,6486,7585,17319,14366,10155,61,103737665.7
9/30/2018,451,1041,2322,13470,5894,6869,16055,12841,9819,71,103737665.7
10/31/2018,480,1017,2244,13973,6286,7800,16542,14742,11100,73,103737665.7
11/30/2018,504,1029,2077,12269,5919,7289,15813,14383,10347,69,103737665.7
12/31/2018,467,1221,2273,12461,6079,8151,14352,14179,10050,102,103737665.7
1/31/2019,592,1048,2203,12201,6203,8760,16186,14132,10231,107,104739238.8
2/28/2019,616,1034,2113,12146,5486,7388,15048,12179,9276,90,104739238.8
3/31/2019,546,1158,2146,13964,5953,8084,15183,13294,9419,85,104739238.8
4/30/2019,535,1146,2067,13865,6257,7680,15143,12108,9463,58,104739238.8
5/31/2019,567,1228,2220,15281,6001,8323,16162,13168,10213,81,104739238.8
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
